# Created by CST Studio Suite 2025 0
# On Sat Aug  2 17:18:22 2025
# unit: meters
# design frequency: -
# Element	X	Y	Z	Magnitude	Phase	Phi	Theta	Gamma
1.1	0	0	0	0	0	0	0	0
1.2	0	0.054550000000000001	0	0	0	0	0	0
1.3	0	0.1091	0	0	0	0	0	0
1.4	0	0.16364999999999999	0	0	0	0	0	0
2.1	0.0448	0	0	0	0	0	0	0
2.2	0.0448	0.054550000000000001	0	0.80310000000000004	0	0	0	0
2.3	0.0448	0.1091	0	0.80310000000000004	0	0	0	0
2.4	0.0448	0.16364999999999999	0	0	0	0	0	0
3.1	0.089599999999999999	0	0	0	0	0	0	0
3.2	0.089599999999999999	0.054550000000000001	0	0.80310000000000004	0	0	0	0
3.3	0.089599999999999999	0.1091	0	0.80310000000000004	0	0	0	0
3.4	0.089599999999999999	0.16364999999999999	0	0	0	0	0	0
4.1	0.13439999999999999	0	0	0	0	0	0	0
4.2	0.13439999999999999	0.054550000000000001	0	0	0	0	0	0
4.3	0.13439999999999999	0.1091	0	0	0	0	0	0
4.4	0.13439999999999999	0.16364999999999999	0	0	0	0	0	0
