=========================================
== CST Matrix Calculation Priority Log ==
=========================================
Priorities are sorted in ascending order beginning with the lowest priority
 
Group | Shape-ID | ShapeName | Material | User-priority | 2D/3D-Geometry | Material-attributes | Shape-attributes | Feature-ID | Schemetype
1 | 6 | </cst/Boundaries/> Low^X_Sym | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 7 | </cst/Boundaries/> Low^Y | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 8 | </cst/Boundaries/> Low^Z | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 9 | </cst/Boundaries/> Up^X | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 10 | </cst/Boundaries/> Up^Y | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 11 | </cst/Boundaries/> Up^Z | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
2 | 5 | component1:substrate | substrate_material | n/a | yes | normal. | solid. | n/a | FIT_TD
3 | 1 | component1:feed_line | PEC | n/a | yes | pec. | solid. | n/a | FIT_TD
3 | 2 | component1:ground | PEC | n/a | yes | pec. | solid. | n/a | FIT_TD
3 | 3 | component1:matching_line | PEC | n/a | yes | pec. | solid. | n/a | FIT_TD
3 | 4 | component1:patch | PEC | n/a | yes | pec. | solid. | n/a | FIT_TD
=========================================
